name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Paulo Costa,Middleweight Division14-4-0 (W-L-D),14-4-0,https://www.ufc.com/athlete/paulo-costa,,,,,,,,2025-07-14T01:40:22.062382
Roman Kopylov,Middleweight Division14-3-0 (W-L-D),14-3-0,https://www.ufc.com/athlete/roman-kopylov,,,,,,,,2025-07-14T01:40:23.159862
Abus Magomedov,Middleweight Division28-6-1 (W-L-D),28-6-1,https://www.ufc.com/athlete/abus-magomedov,,,,,,,,2025-07-14T01:40:24.256276
Alex Pereira,Light Heavyweight Division12-3-0 (W-L-D),12-3-0,https://www.ufc.com/athlete/alex-pereira,,,,,,,,2025-07-14T01:40:25.375198
Jiří Procházka,Light Heavyweight Division31-5-1 (W-L-D),31-5-1,https://www.ufc.com/athlete/jiri-prochazka,,,,,,,,2025-07-14T01:40:26.692267
Carlos Ulberg,Light Heavyweight Division13-1-0 (W-L-D),13-1-0,https://www.ufc.com/athlete/carlos-ulberg,,,,,,,,2025-07-14T01:40:27.821851
Khalil Rountree Jr.,Light Heavyweight Division15-6-0 (W-L-D),15-6-0,https://www.ufc.com/athlete/khalil-rountree-jr,,,,,,,,2025-07-14T01:40:28.920123
Jan Błachowicz,Light Heavyweight Division29-11-1 (W-L-D),29-11-1,https://www.ufc.com/athlete/jan-blachowicz,,,,,,,,2025-07-14T01:40:30.059753
Jamahal Hill,Light Heavyweight Division12-4-0 (W-L-D),12-4-0,https://www.ufc.com/athlete/jamahal-hill,,,,,,,,2025-07-14T01:40:31.172272
Aleksandar Rakić,Light Heavyweight Division14-5-0 (W-L-D),14-5-0,https://www.ufc.com/athlete/aleksandar-rakic,,,,,,,,2025-07-14T01:40:32.276173
Dominick Reyes,Light Heavyweight Division15-4-0 (W-L-D),15-4-0,https://www.ufc.com/athlete/dominick-reyes,,,,,,,,2025-07-14T01:40:33.408852
Volkan Oezdemir,Light Heavyweight Division20-8-0 (W-L-D),20-8-0,https://www.ufc.com/athlete/volkan-oezdemir,,,,,,,,2025-07-14T01:40:34.520656
Nikita Krylov,Light Heavyweight Division30-10-0 (W-L-D),30-10-0,https://www.ufc.com/athlete/nikita-krylov,,,,,,,,2025-07-14T01:40:35.647053
Azamat Murzakanov,Light Heavyweight Division15-0-0 (W-L-D),15-0-0,https://www.ufc.com/athlete/azamat-murzakanov,,,,,,,,2025-07-14T01:40:37.324141
Johnny Walker,Light Heavyweight Division21-9-0 (W-L-D),21-9-0,https://www.ufc.com/athlete/johnny-walker,,,,,,,,2025-07-14T01:40:38.551037
Bogdan Guskov,Light Heavyweight Division17-3-0 (W-L-D),17-3-0,https://www.ufc.com/athlete/bogdan-guskov,,,,,,,,2025-07-14T01:40:39.734743
Zhang Mingyang,Light Heavyweight Division19-6-0 (W-L-D),19-6-0,https://www.ufc.com/athlete/zhang-mingyang,,,,,,,,2025-07-14T01:40:41.091939
Alonzo Menifield,Light Heavyweight Division17-5-1 (W-L-D),17-5-1,https://www.ufc.com/athlete/alonzo-menifield,,,,,,,,2025-07-14T01:40:42.841668
