rank,name,division,url,scraped_at,is_champion
1,Valentina Shevchenko,Flyweight,https://www.ufc.com/athlete/valentina-shevchenko,2025-07-23T14:40:12.066532,True
2,Natalia Silva,Flyweight,https://www.ufc.com/athlete/natalia-silva,2025-07-23T14:40:12.066559,False
3,Manon Fiorot,Flyweight,https://www.ufc.com/athlete/manon-fiorot,2025-07-23T14:40:12.066587,False
4,Alexa Grasso,Flyweight,https://www.ufc.com/athlete/alexa-grasso,2025-07-23T14:40:12.066606,False
5,Erin Blanchfield,Flyweight,https://www.ufc.com/athlete/erin-blanchfield,2025-07-23T14:40:12.066626,False
6,Jasmine Jasudavicius,Flyweight,https://www.ufc.com/athlete/jasmine-jasudavicius,2025-07-23T14:40:12.066645,False
7,Maycee Barber,Flyweight,https://www.ufc.com/athlete/maycee-barber,2025-07-23T14:40:12.066664,False
8,Rose Namajunas,Flyweight,https://www.ufc.com/athlete/rose-namajunas,2025-07-23T14:40:12.066681,False
9,Tracy Cortez,Flyweight,https://www.ufc.com/athlete/tracy-cortez,2025-07-23T14:40:12.066699,False
10,Jéssica Andrade,Flyweight,https://www.ufc.com/athlete/jessica-andrade,2025-07-23T14:40:12.066717,False
11,Miranda Maverick,Flyweight,https://www.ufc.com/athlete/miranda-maverick,2025-07-23T14:40:12.066735,False
12,Karine Silva,Flyweight,https://www.ufc.com/athlete/karine-silva,2025-07-23T14:40:12.066753,False
13,Casey O'Neill,Flyweight,https://www.ufc.com/athlete/casey-oneill,2025-07-23T14:40:12.066771,False
14,Wang Cong,Flyweight,https://www.ufc.com/athlete/wang-cong,2025-07-23T14:40:12.066788,False
15,JJ Aldrich,Flyweight,https://www.ufc.com/athlete/jj-aldrich,2025-07-23T14:40:12.066807,False
16,Eduarda Moura,Flyweight,https://www.ufc.com/athlete/eduarda-moura,2025-07-23T14:40:12.066825,False
1,Kayla Harrison,Bantamweight,https://www.ufc.com/athlete/kayla-harrison,2025-07-23T14:40:12.067615,True
2,Julianna Peña,Bantamweight,https://www.ufc.com/athlete/julianna-pena,2025-07-23T14:40:12.067643,False
3,Raquel Pennington,Bantamweight,https://www.ufc.com/athlete/raquel-pennington,2025-07-23T14:40:12.067670,False
4,Ketlen Vieira,Bantamweight,https://www.ufc.com/athlete/ketlen-vieira,2025-07-23T14:40:12.067691,False
5,Norma Dumont,Bantamweight,https://www.ufc.com/athlete/norma-dumont,2025-07-23T14:40:12.067710,False
6,Macy Chiasson,Bantamweight,https://www.ufc.com/athlete/macy-chiasson,2025-07-23T14:40:12.067729,False
7,Irene Aldana,Bantamweight,https://www.ufc.com/athlete/irene-aldana,2025-07-23T14:40:12.067747,False
8,Ailin Perez,Bantamweight,https://www.ufc.com/athlete/ailin-perez,2025-07-23T14:40:12.067823,False
9,Mayra Bueno Silva,Bantamweight,https://www.ufc.com/athlete/mayra-bueno-silva,2025-07-23T14:40:12.067868,False
10,Yana Santos,Bantamweight,https://www.ufc.com/athlete/yana-santos,2025-07-23T14:40:12.067887,False
11,Karol Rosa,Bantamweight,https://www.ufc.com/athlete/karol-rosa,2025-07-23T14:40:12.067921,False
12,Jacqueline Cavalcanti,Bantamweight,https://www.ufc.com/athlete/jacqueline-cavalcanti,2025-07-23T14:40:12.067971,False
13,Nora Cornolle,Bantamweight,https://www.ufc.com/athlete/nora-cornolle,2025-07-23T14:40:12.068005,False
14,Miesha Tate,Bantamweight,https://www.ufc.com/athlete/miesha-tate,2025-07-23T14:40:12.068030,False
15,Joselyne Edwards,Bantamweight,https://www.ufc.com/athlete/joselyne-edwards,2025-07-23T14:40:12.068051,False
16,Daria Zhelezniakova,Bantamweight,https://www.ufc.com/athlete/daria-zheleznyakova,2025-07-23T14:40:12.068073,False
