rank,name,division,url,record,scraped_at
1,Ciryl Gane,Heavyweight,https://www.ufc.com/athlete/ciryl-gane,,2025-07-23T12:43:27.514966
2,Alexander Volkov,Heavyweight,https://www.ufc.com/athlete/alexander-volkov,,2025-07-23T12:43:27.514992
3,Sergei Pavlovich,Heavyweight,https://www.ufc.com/athlete/sergei-pavlovich,,2025-07-23T12:43:27.515016
4,Curtis Blaydes,Heavyweight,https://www.ufc.com/athlete/curtis-blaydes,,2025-07-23T12:43:27.515039
5,Jailton Almeida,Heavyweight,https://www.ufc.com/athlete/jailton-almeida,,2025-07-23T12:43:27.515062
6,Waldo Cortes Acosta,Heavyweight,https://www.ufc.com/athlete/waldo-cortes-acosta,,2025-07-23T12:43:27.515084
7,Marcin Tybura,Heavyweight,https://www.ufc.com/athlete/marcin-tybura,,2025-07-23T12:43:27.515107
8,Serghei Spivac,Heavyweight,https://www.ufc.com/athlete/serghei-spivac,,2025-07-23T12:43:27.515130
9,Derrick Lewis,Heavyweight,https://www.ufc.com/athlete/derrick-lewis,,2025-07-23T12:43:27.515153
10,Tai Tuivasa,Heavyweight,https://www.ufc.com/athlete/tai-tuivasa,,2025-07-23T12:43:27.515177
11,Shamil Gaziev,Heavyweight,https://www.ufc.com/athlete/shamil-gaziev,,2025-07-23T12:43:27.515199
12,Mick Parkin,Heavyweight,https://www.ufc.com/athlete/mick-parkin,,2025-07-23T12:43:27.515221
13,Martin Buday,Heavyweight,https://www.ufc.com/athlete/martin-buday,,2025-07-23T12:43:27.515242
14,Tallison Teixeira,Heavyweight,https://www.ufc.com/athlete/tallison-teixeira,,2025-07-23T12:43:27.515264
15,Rizvan Kuniev,Heavyweight,https://www.ufc.com/athlete/rizvan-kuniev,,2025-07-23T12:43:27.515286
1,Valentina Shevchenko,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/valentina-shevchenko,,2025-07-23T12:43:27.515418
2,Zhang Weili,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/weili-zhang,,2025-07-23T12:43:27.515445
3,Kayla Harrison,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/kayla-harrison,,2025-07-23T12:43:27.515567
4,Manon Fiorot,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/manon-fiorot,,2025-07-23T12:43:27.515667
5,Julianna Peña,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/julianna-pena,,2025-07-23T12:43:27.515695
6,Natalia Silva,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/natalia-silva,,2025-07-23T12:43:27.515720
7,Alexa Grasso,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/alexa-grasso,,2025-07-23T12:43:27.515742
8,Erin Blanchfield,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/erin-blanchfield,,2025-07-23T12:43:27.515764
9,Virna Jandiroba,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/virna-jandiroba,,2025-07-23T12:43:27.515786
10,Raquel Pennington,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/raquel-pennington,,2025-07-23T12:43:27.515809
11,Tatiana Suarez,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/tatiana-suarez,,2025-07-23T12:43:27.515831
12,Rose Namajunas,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/rose-namajunas,,2025-07-23T12:43:27.515978
13,Yan Xiaonan,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/xiaonan-yan,,2025-07-23T12:43:27.516022
14,Amanda Lemos,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/amanda-lemos,,2025-07-23T12:43:27.516057
15,Maycee Barber,Women's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/maycee-barber,,2025-07-23T12:43:27.516084
1,Virna Jandiroba,Women's Strawweight,https://www.ufc.com/athlete/virna-jandiroba,,2025-07-23T12:43:27.516242
2,Tatiana Suarez,Women's Strawweight,https://www.ufc.com/athlete/tatiana-suarez,,2025-07-23T12:43:27.516271
3,Yan Xiaonan,Women's Strawweight,https://www.ufc.com/athlete/xiaonan-yan,,2025-07-23T12:43:27.516295
4,Amanda Lemos,Women's Strawweight,https://www.ufc.com/athlete/amanda-lemos,,2025-07-23T12:43:27.516344
5,Jéssica Andrade,Women's Strawweight,https://www.ufc.com/athlete/jessica-andrade,,2025-07-23T12:43:27.516478
6,Mackenzie Dern,Women's Strawweight,https://www.ufc.com/athlete/mackenzie-dern,,2025-07-23T12:43:27.516557
7,Amanda Ribas,Women's Strawweight,https://www.ufc.com/athlete/amanda-ribas,,2025-07-23T12:43:27.516641
8,Iasmin Lucindo,Women's Strawweight,https://www.ufc.com/athlete/iasmin-lucindo,,2025-07-23T12:43:27.516717
9,Gillian Robertson,Women's Strawweight,https://www.ufc.com/athlete/gillian-robertson,,2025-07-23T12:43:27.516800
10,Tabatha Ricci,Women's Strawweight,https://www.ufc.com/athlete/tabatha-ricci,,2025-07-23T12:43:27.516850
11,Loopy Godinez,Women's Strawweight,https://www.ufc.com/athlete/loopy-godinez,,2025-07-23T12:43:27.516907
12,Angela Hill,Women's Strawweight,https://www.ufc.com/athlete/angela-hill,,2025-07-23T12:43:27.516963
13,Tecia Pennington,Women's Strawweight,https://www.ufc.com/athlete/tecia-pennington,,2025-07-23T12:43:27.516989
14,Loma Lookboonmee,Women's Strawweight,https://www.ufc.com/athlete/loma-lookboonmee,,2025-07-23T12:43:27.517013
15,Denise Gomes,Women's Strawweight,https://www.ufc.com/athlete/denise-gomes,,2025-07-23T12:43:27.517121
1,Natalia Silva,Women's Flyweight,https://www.ufc.com/athlete/natalia-silva,,2025-07-23T12:43:27.517375
2,Manon Fiorot,Women's Flyweight,https://www.ufc.com/athlete/manon-fiorot,,2025-07-23T12:43:27.517420
3,Alexa Grasso,Women's Flyweight,https://www.ufc.com/athlete/alexa-grasso,,2025-07-23T12:43:27.517543
4,Erin Blanchfield,Women's Flyweight,https://www.ufc.com/athlete/erin-blanchfield,,2025-07-23T12:43:27.517699
5,Jasmine Jasudavicius,Women's Flyweight,https://www.ufc.com/athlete/jasmine-jasudavicius,,2025-07-23T12:43:27.517743
6,Maycee Barber,Women's Flyweight,https://www.ufc.com/athlete/maycee-barber,,2025-07-23T12:43:27.517771
7,Rose Namajunas,Women's Flyweight,https://www.ufc.com/athlete/rose-namajunas,,2025-07-23T12:43:27.517795
8,Tracy Cortez,Women's Flyweight,https://www.ufc.com/athlete/tracy-cortez,,2025-07-23T12:43:27.517818
9,Jéssica Andrade,Women's Flyweight,https://www.ufc.com/athlete/jessica-andrade,,2025-07-23T12:43:27.517842
10,Miranda Maverick,Women's Flyweight,https://www.ufc.com/athlete/miranda-maverick,,2025-07-23T12:43:27.517867
11,Karine Silva,Women's Flyweight,https://www.ufc.com/athlete/karine-silva,,2025-07-23T12:43:27.517892
12,Casey O'Neill,Women's Flyweight,https://www.ufc.com/athlete/casey-oneill,,2025-07-23T12:43:27.517917
13,Wang Cong,Women's Flyweight,https://www.ufc.com/athlete/wang-cong,,2025-07-23T12:43:27.517941
14,JJ Aldrich,Women's Flyweight,https://www.ufc.com/athlete/jj-aldrich,,2025-07-23T12:43:27.517966
15,Eduarda Moura,Women's Flyweight,https://www.ufc.com/athlete/eduarda-moura,,2025-07-23T12:43:27.517989
1,Julianna Peña,Women's Bantamweight,https://www.ufc.com/athlete/julianna-pena,,2025-07-23T12:43:27.518140
2,Raquel Pennington,Women's Bantamweight,https://www.ufc.com/athlete/raquel-pennington,,2025-07-23T12:43:27.518168
3,Ketlen Vieira,Women's Bantamweight,https://www.ufc.com/athlete/ketlen-vieira,,2025-07-23T12:43:27.518193
4,Norma Dumont,Women's Bantamweight,https://www.ufc.com/athlete/norma-dumont,,2025-07-23T12:43:27.518232
5,Macy Chiasson,Women's Bantamweight,https://www.ufc.com/athlete/macy-chiasson,,2025-07-23T12:43:27.518266
6,Irene Aldana,Women's Bantamweight,https://www.ufc.com/athlete/irene-aldana,,2025-07-23T12:43:27.518294
7,Ailin Perez,Women's Bantamweight,https://www.ufc.com/athlete/ailin-perez,,2025-07-23T12:43:27.518318
8,Mayra Bueno Silva,Women's Bantamweight,https://www.ufc.com/athlete/mayra-bueno-silva,,2025-07-23T12:43:27.518341
9,Yana Santos,Women's Bantamweight,https://www.ufc.com/athlete/yana-santos,,2025-07-23T12:43:27.518371
10,Karol Rosa,Women's Bantamweight,https://www.ufc.com/athlete/karol-rosa,,2025-07-23T12:43:27.518399
11,Jacqueline Cavalcanti,Women's Bantamweight,https://www.ufc.com/athlete/jacqueline-cavalcanti,,2025-07-23T12:43:27.518422
12,Nora Cornolle,Women's Bantamweight,https://www.ufc.com/athlete/nora-cornolle,,2025-07-23T12:43:27.518445
13,Miesha Tate,Women's Bantamweight,https://www.ufc.com/athlete/miesha-tate,,2025-07-23T12:43:27.518467
14,Joselyne Edwards,Women's Bantamweight,https://www.ufc.com/athlete/joselyne-edwards,,2025-07-23T12:43:27.518490
15,Daria Zhelezniakova,Women's Bantamweight,https://www.ufc.com/athlete/daria-zheleznyakova,,2025-07-23T12:43:27.518513
