name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Sergei Pavlovich,Heavyweight Division19-3-0 (W-L-D),19-3-0,https://www.ufc.com/athlete/sergei-pavlovich,,,,,,,,2025-07-23T14:42:21.437396
Curtis Blaydes,Heavyweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/curtis-blaydes,,,,,,,,2025-07-23T14:42:22.589499
Jailton Almeida,Heavyweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/jailton-almeida,,,,,,,,2025-07-23T14:42:23.707619
Waldo Cortes Acosta,Heavyweight Division14-1-0 (W-L-D),14-1-0,https://www.ufc.com/athlete/waldo-cortes-acosta,,,,,,,,2025-07-23T14:42:24.822026
Marcin Tybura,Heavyweight Division27-9-0 (W-L-D),27-9-0,https://www.ufc.com/athlete/marcin-tybura,,,,,,,,2025-07-23T14:42:25.949578
Serghei Spivac,Heavyweight Division17-6-0 (W-L-D),17-6-0,https://www.ufc.com/athlete/serghei-spivac,,,,,,,,2025-07-23T14:42:27.043635
Derrick Lewis,Heavyweight Division29-12-0 (W-L-D),29-12-0,https://www.ufc.com/athlete/derrick-lewis,,,,,,,,2025-07-23T14:42:28.163990
Tai Tuivasa,Heavyweight Division15-8-0 (W-L-D),15-8-0,https://www.ufc.com/athlete/tai-tuivasa,,,,,,,,2025-07-23T14:42:29.260073
Shamil Gaziev,Heavyweight Division14-1-0 (W-L-D),14-1-0,https://www.ufc.com/athlete/shamil-gaziev,,,,,,,,2025-07-23T14:42:30.342048
Mick Parkin,Heavyweight Division10-1-0 (W-L-D),10-1-0,https://www.ufc.com/athlete/mick-parkin,,,,,,,,2025-07-23T14:42:31.436874
Martin Buday,Heavyweight Division15-2-0 (W-L-D),15-2-0,https://www.ufc.com/athlete/martin-buday,,,,,,,,2025-07-23T14:42:32.559369
Tallison Teixeira,Heavyweight Division8-1-0 (W-L-D),8-1-0,https://www.ufc.com/athlete/tallison-teixeira,,,,,,,,2025-07-23T14:42:33.682096
Rizvan Kuniev,Heavyweight Division12-3-1 (W-L-D),12-3-1,https://www.ufc.com/athlete/rizvan-kuniev,,,,,,,,2025-07-23T14:42:34.775031
Valentina Shevchenko,Women's Flyweight Division25-4-1 (W-L-D),25-4-1,https://www.ufc.com/athlete/valentina-shevchenko,,,,,,,,2025-07-23T14:42:35.870974
Zhang Weili,Women's Strawweight Division26-3-0 (W-L-D),26-3-0,https://www.ufc.com/athlete/weili-zhang,,,,,,,,2025-07-23T14:42:36.979329
Kayla Harrison,Women's Bantamweight Division19-1-0 (W-L-D),19-1-0,https://www.ufc.com/athlete/kayla-harrison,,,,,,,,2025-07-23T14:42:38.101021
Manon Fiorot,Women's Flyweight Division12-2-0 (W-L-D),12-2-0,https://www.ufc.com/athlete/manon-fiorot,,,,,,,,2025-07-23T14:42:39.213308
Julianna Peña,Women's Bantamweight Division13-6-0 (W-L-D),13-6-0,https://www.ufc.com/athlete/julianna-pena,,,,,,,,2025-07-23T14:42:40.314828
Natalia Silva,Women's Flyweight Division19-5-1 (W-L-D),19-5-1,https://www.ufc.com/athlete/natalia-silva,,,,,,,,2025-07-23T14:42:41.426103
Alexa Grasso,Women's Flyweight Division16-5-1 (W-L-D),16-5-1,https://www.ufc.com/athlete/alexa-grasso,,,,,,,,2025-07-23T14:42:42.549108
Erin Blanchfield,Women's Flyweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/erin-blanchfield,,,,,,,,2025-07-23T14:42:43.630183
Virna Jandiroba,Women's Strawweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/virna-jandiroba,,,,,,,,2025-07-23T14:42:44.747887
Raquel Pennington,Women's Bantamweight Division16-10-0 (W-L-D),16-10-0,https://www.ufc.com/athlete/raquel-pennington,,,,,,,,2025-07-23T14:42:45.868139
Tatiana Suarez,Women's Strawweight Division11-1-0 (W-L-D),11-1-0,https://www.ufc.com/athlete/tatiana-suarez,,,,,,,,2025-07-23T14:42:46.977282
Rose Namajunas,Women's Flyweight Division15-7-0 (W-L-D),15-7-0,https://www.ufc.com/athlete/rose-namajunas,,,,,,,,2025-07-23T14:42:48.118424
Yan Xiaonan,Women's Strawweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/xiaonan-yan,,,,,,,,2025-07-23T14:42:49.229834
Amanda Lemos,Women's Strawweight Division15-4-1 (W-L-D),15-4-1,https://www.ufc.com/athlete/amanda-lemos,,,,,,,,2025-07-23T14:42:50.335398
Maycee Barber,Women's Flyweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/maycee-barber,,,,,,,,2025-07-23T14:42:51.438294
Zhang Weili,Women's Strawweight Division26-3-0 (W-L-D),26-3-0,https://www.ufc.com/athlete/zhang-weili,,,,,,,,2025-07-23T14:42:52.578113
Jéssica Andrade,Women's Strawweight Division26-14-0 (W-L-D),26-14-0,https://www.ufc.com/athlete/jessica-andrade,,,,,,,,2025-07-23T14:42:53.714635
Mackenzie Dern,Women's Strawweight Division15-5-0 (W-L-D),15-5-0,https://www.ufc.com/athlete/mackenzie-dern,,,,,,,,2025-07-23T14:42:54.826886
Amanda Ribas,Women's Strawweight Division12-6-0 (W-L-D),12-6-0,https://www.ufc.com/athlete/amanda-ribas,,,,,,,,2025-07-23T14:42:55.966262
Iasmin Lucindo,Women's Strawweight Division17-6-0 (W-L-D),17-6-0,https://www.ufc.com/athlete/iasmin-lucindo,,,,,,,,2025-07-23T14:42:57.235831
Gillian Robertson,Women's Strawweight Division16-8-0 (W-L-D),16-8-0,https://www.ufc.com/athlete/gillian-robertson,,,,,,,,2025-07-23T14:42:58.350374
