name,date,venue,location,status,event_type,url,scraped_at
582,UFC Fight Night: Costa vs. Vettori,"Oct 23, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901035
581,UFC Fight Night: Ladd vs. Dumont,"Oct 16, 2021",[181],completed,other,,2025-07-29T14:58:05.901075
580,UFC Fight Night: Dern vs. Rodriguez,"Oct 9, 2021",[182],completed,other,,2025-07-29T14:58:05.901115
579,UFC Fight Night: Santos vs. Walker,"Oct 2, 2021",[183],completed,other,,2025-07-29T14:58:05.901154
578,UFC 266: Volkanovski vs. Ortega,"Sep 25, 2021",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.901202
577,UFC Fight Night: Smith vs. Spann,"Sep 18, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901247
576,UFC Fight Night: Brunson vs. Till,"Sep 4, 2021",[186],completed,other,,2025-07-29T14:58:05.901286
575,UFC on ESPN: Barboza vs. Chikadze,"Aug 28, 2021",[187],completed,other,,2025-07-29T14:58:05.901326
574,UFC on ESPN: Cannonier vs. Gastelum,"Aug 21, 2021",[188],completed,other,,2025-07-29T14:58:05.901372
573,UFC 265: Lewis vs. Gane,"Aug 7, 2021",Toyota Center,completed,other,,2025-07-29T14:58:05.901424
572,UFC on ESPN: Hall vs. Strickland,"Jul 31, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901473
571,UFC on ESPN: Sandhagen vs. Dillashaw,"Jul 24, 2021",51,completed,other,,2025-07-29T14:58:05.901517
570,UFC on ESPN: Makhachev vs. Moisés,"Jul 17, 2021",0,completed,other,,2025-07-29T14:58:05.901562
569,UFC 264: Poirier vs. McGregor 3,"Jul 10, 2021",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.901610
568,UFC Fight Night: Gane vs. Volkov,"Jun 26, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901660
567,UFC on ESPN: The Korean Zombie vs. Ige,"Jun 19, 2021",[195],completed,other,,2025-07-29T14:58:05.901701
566,UFC 263: Adesanya vs. Vettori 2,"Jun 12, 2021",Gila River Arena,completed,other,,2025-07-29T14:58:05.901751
565,UFC Fight Night: Rozenstruik vs. Sakai,"Jun 5, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901806
564,UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",[198],completed,other,,2025-07-29T14:58:05.901847
563,UFC 262: Oliveira vs. Chandler,"May 15, 2021",Toyota Center,completed,other,,2025-07-29T14:58:05.901898
562,UFC on ESPN: Rodriguez vs. Waterson,"May 8, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.901950
561,UFC on ESPN: Reyes vs. Procházka,"May 1, 2021",[201],completed,other,,2025-07-29T14:58:05.901991
560,UFC 261: Usman vs. Masvidal 2,"Apr 24, 2021",VyStar Veterans Memorial Arena,completed,other,,2025-07-29T14:58:05.902041
559,UFC on ESPN: Whittaker vs. Gastelum,"Apr 17, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.902094
558,UFC on ABC: Vettori vs. Holland,"Apr 10, 2021",[204],completed,other,,2025-07-29T14:58:05.902141
557,UFC 260: Miocic vs. Ngannou 2,"Mar 27, 2021",[205],completed,other,,2025-07-29T14:58:05.902182
556,UFC on ESPN: Brunson vs. Holland,"Mar 20, 2021",[206],completed,other,,2025-07-29T14:58:05.902221
555,UFC Fight Night: Edwards vs. Muhammad,"Mar 13, 2021",[207],completed,other,,2025-07-29T14:58:05.902261
554,UFC 259: Błachowicz vs. Adesanya,"Mar 6, 2021",[208],completed,other,,2025-07-29T14:58:05.902302
553,UFC Fight Night: Rozenstruik vs. Gane,"Feb 27, 2021",[209],completed,other,,2025-07-29T14:58:05.902343
552,UFC Fight Night: Blaydes vs. Lewis,"Feb 20, 2021",[210],completed,other,,2025-07-29T14:58:05.902383
551,UFC 258: Usman vs. Burns,"Feb 13, 2021",[211],completed,other,,2025-07-29T14:58:05.902421
550,UFC Fight Night: Overeem vs. Volkov,"Feb 6, 2021",[212],completed,other,,2025-07-29T14:58:05.902461
549,UFC 257: Poirier vs. McGregor 2,"Jan 24, 2021",Etihad Arena,completed,other,,2025-07-29T14:58:05.902512
548,UFC on ESPN: Chiesa vs. Magny,"Jan 20, 2021","2,000",completed,other,,2025-07-29T14:58:05.902553
547,UFC on ABC: Holloway vs. Kattar,"Jan 16, 2021",[215],completed,other,,2025-07-29T14:58:05.902592
546,UFC Fight Night: Thompson vs. Neal,"Dec 19, 2020",UFC Apex,completed,other,,2025-07-29T14:58:05.902645
545,UFC 256: Figueiredo vs. Moreno,"Dec 12, 2020",[217],completed,other,,2025-07-29T14:58:05.902684
544,UFC on ESPN: Hermansson vs. Vettori,"Dec 5, 2020",[218],completed,other,,2025-07-29T14:58:05.902724
543,UFC on ESPN: Smith vs. Clark,"Nov 28, 2020",[219],completed,other,,2025-07-29T14:58:05.902762
542,UFC 255: Figueiredo vs. Perez,"Nov 21, 2020",[220],completed,other,,2025-07-29T14:58:05.902802
541,UFC Fight Night: Felder vs. dos Anjos,"Nov 14, 2020",[221],completed,other,,2025-07-29T14:58:05.902841
540,UFC on ESPN: Santos vs. Teixeira,"Nov 7, 2020",[222],completed,other,,2025-07-29T14:58:05.902881
539,UFC Fight Night: Hall vs. Silva,"Oct 31, 2020",[223],completed,other,,2025-07-29T14:58:05.902920
